id,size
AGEID0,0
AGEID5,5
AGEID10,5
AGEID15,5
AGEID20,5
AGEID25,5
AGEID30,5
AGEID35,5
AGEID40,5
AGEID45,5
AGEID50,5
AGEID55,5
AGEID60,5
AGEID65,5
AGEID70,5
AGEID75,5
AGEID80,5
AGEID85,5
AGEID90,5
AGEID95,5
AGEID100,5
