Classifier1,Classifier2,Classifier3,Classifier4,UsingID,Age,Area,Delay,UNFCCCLC,HistDist,LastDist
NFPine_mineral,A,mineral,YC12_20,False,0,6004.0,0,2,DISTID5,DISTID5
NFPine_mineral,A,mineral,YC4_12,False,0,0.0,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC4_12,False,0,66534.4901203821,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC13_16,False,0,48320.9930575658,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC17_20,False,0,50303.994659666,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC20_24,False,0,86834.4954607161,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC24_30,False,0,87826.0,0,2,DISTID5,DISTID5
NFSGB_mineral,A,mineral,YC6,False,0,80725.13141357,0,2,DISTID5,DISTID5
NFFGB_mineral,A,mineral,YC6,False,0,22388.0,0,2,DISTID5,DISTID5
NFCBmix_mineral,A,mineral,YC10,False,0,18398.0,0,2,DISTID5,DISTID5
NFOC_mineral,A,mineral,YC10,False,0,36300.0,0,2,DISTID5,DISTID5
NFPine_peat,A,peat,YC12_20,False,0,29594.0,0,2,DISTID5,DISTID5
NFPine_peat,A,peat,YC4_12,False,0,14004.0,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC4_12,False,0,31554.0,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC13_16,False,0,28542.0,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC17_20,False,0,0.0,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC20_24,False,0,76308.0,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC24_30,False,0,105350.0,0,2,DISTID5,DISTID5
NFSGB_peat,A,peat,YC6,False,0,0.0,0,2,DISTID5,DISTID5
NFFGB_peat,A,peat,YC6,False,0,13592.0,0,2,DISTID5,DISTID5
NFCBmix_peat,A,peat,YC10,False,0,9126.0,0,2,DISTID5,DISTID5
NFOC_peat,A,peat,YC10,False,0,48224.0,0,2,DISTID5,DISTID5
