Classifier1,Classifier2,Classifier3,Classifier4,UsingID,Age,Area,Delay,UNFCCCL,HistDist,LastDist
NF_Spruce17-20-nothin,A,mineral,YC17_20,FALSE,0,5823.216747340821,0,2,DISTID5,DISTID5
NF_Spruce21-24-nothin,A,mineral,YC21_24,FALSE,0,508198.5592379618,0,2,DISTID5,DISTID5
NF_Spruce25-32-nothin,A,mineral,YC25_32,FALSE,0,418877.4498115579,0,2,DISTID5,DISTID5
NF_SGB,A,mineral,YC6,FALSE,0,1599385.967871458,0,2,DISTID5,DISTID5
