Classifier1,Classifier2,Classifier3,Classifier4,UsingID,Age,Area,Delay,UNFCCCLC,HistDist,LastDist
CF,L,peat,YC10,False,10,12706.781398943622,0,0,DISTID3,DISTID3
CF,L,peat,YC10,False,20,12706.781398943622,0,0,DISTID3,DISTID3
CF,L,peat,YC10,False,30,19967.79934119712,0,0,DISTID3,DISTID3
CF,L,peat,YC10,False,40,9076.272427816872,0,0,DISTID3,DISTID3
CF,L,peat,YC10,False,50,4084.3225925175957,0,0,DISTID3,DISTID3
CF,L,peat,YC10,False,51,5899.577078080977,0,0,DISTID3,DISTID3
CF,L,peat,YC16,False,10,8929.089631690113,0,0,DISTID3,DISTID3
CF,L,peat,YC16,False,20,8929.089631690113,0,0,DISTID3,DISTID3
CF,L,peat,YC16,False,30,14031.426564084462,0,0,DISTID3,DISTID3
CF,L,peat,YC16,False,40,6377.921165492938,0,0,DISTID3,DISTID3
CF,L,peat,YC16,False,50,2870.0645244718244,0,0,DISTID3,DISTID3
CF,L,peat,YC16,False,51,4145.648757570416,0,0,DISTID3,DISTID3
CF,L,peat,YC20,False,10,6868.530485915471,0,0,DISTID3,DISTID3
CF,L,peat,YC20,False,20,6868.530485915471,0,0,DISTID3,DISTID3
CF,L,peat,YC20,False,30,10793.40504929574,0,0,DISTID3,DISTID3
CF,L,peat,YC20,False,40,4906.093204225336,0,0,DISTID3,DISTID3
CF,L,peat,YC20,False,50,2207.741941901403,0,0,DISTID3,DISTID3
CF,L,peat,YC20,False,51,3188.960582746474,0,0,DISTID3,DISTID3
CF,L,peat,YC24,False,10,5838.2509130281505,0,0,DISTID3,DISTID3
CF,L,peat,YC24,False,20,5838.2509130281505,0,0,DISTID3,DISTID3
CF,L,peat,YC24,False,30,9174.394291901379,0,0,DISTID3,DISTID3
CF,L,peat,YC24,False,40,4170.179223591536,0,0,DISTID3,DISTID3
CF,L,peat,YC24,False,50,1876.5806506161928,0,0,DISTID3,DISTID3
CF,L,peat,YC24,False,51,2710.6164953345033,0,0,DISTID3,DISTID3
CF,L,mineral,YC10,False,10,8544.978432042262,0,0,DISTID3,DISTID3
CF,L,mineral,YC10,False,20,8544.978432042262,0,0,DISTID3,DISTID3
CF,L,mineral,YC10,False,30,13427.823250352127,0,0,DISTID3,DISTID3
CF,L,mineral,YC10,False,40,6103.55602288733,0,0,DISTID3,DISTID3
CF,L,mineral,YC10,False,50,2746.600210299301,0,0,DISTID3,DISTID3
CF,L,mineral,YC10,False,51,3967.3114148767713,0,0,DISTID3,DISTID3
CF,L,mineral,YC16,False,10,6004.579438732401,0,0,DISTID3,DISTID3
CF,L,mineral,YC16,False,20,6004.579438732401,0,0,DISTID3,DISTID3
CF,L,mineral,YC16,False,30,9435.76768943663,0,0,DISTID3,DISTID3
CF,L,mineral,YC16,False,40,4288.985313380286,0,0,DISTID3,DISTID3
CF,L,mineral,YC16,False,50,1930.0433910211304,0,0,DISTID3,DISTID3
CF,L,mineral,YC16,False,51,2787.840453697191,0,0,DISTID3,DISTID3
CF,L,mineral,YC20,False,10,4618.9072605633855,0,0,DISTID3,DISTID3
CF,L,mineral,YC20,False,20,4618.9072605633855,0,0,DISTID3,DISTID3
CF,L,mineral,YC20,False,30,7258.282838028177,0,0,DISTID3,DISTID3
CF,L,mineral,YC20,False,40,3299.2194718309897,0,0,DISTID3,DISTID3
CF,L,mineral,YC20,False,50,1484.6487623239466,0,0,DISTID3,DISTID3
CF,L,mineral,YC20,False,51,2144.4926566901468,0,0,DISTID3,DISTID3
CF,L,mineral,YC24,False,10,3926.071171478878,0,0,DISTID3,DISTID3
CF,L,mineral,YC24,False,20,3926.071171478878,0,0,DISTID3,DISTID3
CF,L,mineral,YC24,False,30,6169.540412323951,0,0,DISTID3,DISTID3
CF,L,mineral,YC24,False,40,2804.3365510563412,0,0,DISTID3,DISTID3
CF,L,mineral,YC24,False,50,1261.9514479753548,0,0,DISTID3,DISTID3
CF,L,mineral,YC24,False,51,1822.818758186625,0,0,DISTID3,DISTID3
BL,L,peat,YC10,False,10,3815.8502699530395,0,0,DISTID3,DISTID3
BL,L,peat,YC10,False,20,3815.8502699530395,0,0,DISTID3,DISTID3
BL,L,peat,YC10,False,30,5996.336138497633,0,0,DISTID3,DISTID3
BL,L,peat,YC10,False,40,2725.6073356807424,0,0,DISTID3,DISTID3
BL,L,peat,YC10,False,50,1226.5233010563352,0,0,DISTID3,DISTID3
BL,L,peat,YC10,False,51,1771.6447681924856,0,0,DISTID3,DISTID3
BL,L,mineral,YC10,False,10,2566.059589201881,0,0,DISTID3,DISTID3
BL,L,mineral,YC10,False,20,2566.059589201881,0,0,DISTID3,DISTID3
BL,L,mineral,YC10,False,30,4032.379354460098,0,0,DISTID3,DISTID3
BL,L,mineral,YC10,False,40,1832.899706572772,0,0,DISTID3,DISTID3
BL,L,mineral,YC10,False,50,824.804867957748,0,0,DISTID3,DISTID3
BL,L,mineral,YC10,False,51,1191.3848092723038,0,0,DISTID3,DISTID3
