Classifier1,Classifier2,Classifier3,Classifier4,LeadSpecies,Vol0,Vol1,Vol2,Vol3,Vol4,Vol5,Vol6,Vol7,Vol8,Vol9,Vol10,Vol11,Vol12,Vol13,Vol14,Vol15,Vol16,Vol17,Vol18,Vol19,Vol20,Vol21,Vol22,Vol23,Vol24,Vol25,Vol26,Vol27,Vol28,Vol29,Vol30,Vol31,Vol32,Vol33,Vol34,Vol35,Vol36,Vol37,Vol38,Vol39,Vol40,Vol41,Vol42,Vol43,Vol44,Vol45,Vol46,Vol47,Vol48,Vol49,Vol50,Vol51,Vol52,Vol53,Vol54,Vol55,Vol56,Vol57,Vol58,Vol59,Vol60,Vol61,Vol62,Vol63,Vol64,Vol65,Vol66,Vol67,Vol68,Vol69,Vol70,Vol71,Vol72,Vol73,Vol74,Vol75,Vol76,Vol77,Vol78,Vol79,Vol80,Vol81,Vol82,Vol83,Vol84,Vol85,Vol86,Vol87,Vol88,Vol89,Vol90,Vol91,Vol92,Vol93,Vol94,Vol95,Vol96,Vol97,Vol98,Vol99,Vol100
CF,L,peat,YC10,CF,0,8.426118148659207e-05,0.0018932546406530693,0.012227268473810159,0.04657003786019489,0.13140945380126276,0.3051803145824583,0.6179817778549492,1.1303382868295193,1.9112942117082667,3.036109642705817,4.583783043406163,6.634579217832799,9.267695285864338,12.55915654748442,16.579999650948466,21.39477261030916,27.060359561825823,33.62512201324815,41.128336910353276,49.59990429703326,59.0602929061901,69.52068999918369,80.98332157719157,93.44191022006949,106.88223985886916,121.28279943000624,136.61548033593422,152.84630575308285,169.93617293699754,187.84159267238522,206.51541283048084,225.9075155822156,245.965480147725,266.6352050307214,287.8614854914353,309.5885435635406,331.76050923357593,354.32185249420354,377.21776687550266,400.3945057724384,423.7996734426557,447.3824729670885,471.09391376568425,494.88698145957926,518.71677298551,542.5405999127181,566.3180629000819,590.0111001731306,613.5840128069182,637.0034694800605,660.2384932248748,683.2604325447279,706.0429191075348,728.5618140581363,750.7951448254778,772.7230341358849,794.3276227834601,815.5929875543677,836.5050555547542,857.0515160531392,877.2217308178479,897.0066438087648,916.3986909704581,935.3917107705023,953.9808560324276,972.1625075268535,989.9341897066702,1007.2944889021977,1024.2429742296317,1040.7801214103106,1056.9072396489319,1072.6264016753285,1087.9403770163176,1102.8525685310028,1117.3669522142952,1131.488020248915,1145.2207272653295,1158.5704397516188,1171.5428885407755,1184.1441242911233,1196.3804758660808,1208.2585115121258,1219.7850027282748,1230.9668907164646,1241.8112552996834,1252.3252861933688,1262.5162565153014,1272.3914984198052,1281.9583807434067,1291.224288551059,1300.1966044745125,1308.8826917373012,1317.2898787640406,1325.4254452752125,1333.2966097722897,1340.9105183218658,1348.2742345513561,1355.3947307727806,1362.2788801550967,1368.9334498694857
CF,L,peat,YC16,CF,0,0.00026986425960912573,0.006405498840583556,0.04168753611292248,0.15733786740806655,0.4361037748848378,0.9895760407272258,1.9511745561618545,3.466893362686208,5.685534815608765,8.749658144462375,12.787988761480161,17.909645723535405,24.200259914498027,31.719865927644637,40.5023386991267,50.556092528935196,61.86574786658956,74.39448583551344,88.08684089165095,102.87172020018423,118.66547869147047,135.37491769793922,152.90011041882525,171.1369881063796,189.97964643959403,209.32235214751273,229.0612459486223,249.0957498230989,269.32969512894647,289.67219370947527,310.0382774792099,330.34933352146766,350.5333619198483,370.5250827454723,390.26591713429434,409.703865456889,428.79330339699595,447.4947144601976,465.7743751382161,483.60400673460515,500.96040576655565,517.8250629282511,534.1837788518953,550.0262833401796,565.345863367372,580.1390039484477,594.4050449459552,608.1458560094779,621.3655311082255,634.0701035086861,646.2672815518017,657.9662051838095,669.1772228786291,679.9116883454145,690.1817762316953,700.0003159006235,709.380642271553,718.3364626589057,726.8817385184315,735.0305810068577,742.7971592757006,750.1956204485626,757.2400202701255,763.9442634613803,770.3220528670697,776.3868465358937,782.1518219302154,787.6298465185386,792.8334540599502,797.7748259442827,802.4657770043862,806.9177452672188,811.1417851581785,815.148563718038,818.9483594339295,822.5510633250175,825.9661819598299,829.2028421157613,832.269796822105,835.1754325562331,837.9277773883576,840.5345098938109,843.0029686731202,845.340162339479,847.5527798506591,849.6472010781332,851.6295075202913,853.5054930793018,855.2806748324824,856.9603037391454,858.5493752328683,860.0526396571155,861.4746125091981,862.8195844637972,864.0916311527635,865.2946226827268,866.4322328762696,867.507948226096,868.5250765548224,869.4867553757841
CF,L,peat,YC20,CF,0,0.00018110326337194627,0.0064943282257756245,0.051515124540540747,0.21942616575406818,0.6589741562934044,1.5796330335711306,3.23429478085387,5.894735437003694,9.825842311186786,15.262952258670062,22.39475951063814,31.35264972688036,42.20618682464248,54.96381078025193,69.5775063548813,85.95016349241696,103.94446974181724,123.39237538388753,144.10439834670782,165.87825401542847,188.50648569744607,211.78292667212068,235.5079433182946,259.4924937300071,283.56109246734127,307.55380526570804,331.3274130979007,354.7558877976092,377.73031556504293,400.1583933137414,421.9636084444348,443.0841970442112,463.4719599570617,483.0910014723073,501.9164420182935,519.9331444762574,537.1344836193289,553.5211796958929,569.1002102050394,583.883808304296,597.888551878051,611.1345439080502,623.6446822612749,635.4440151945913,646.5591776352,657.0179025137071,666.8486010023262,676.0800053600559,684.7408681400981,692.8597117156223,700.4646223828345,707.5830836693087,714.2418438828505,720.4668133605576,726.2829873034302,731.7143904973967,736.7840406189797,741.5139271977603,745.9250036551234,750.0371901579136,753.8693853161981,757.4394850167913,760.7644069196165,763.8601193538308,766.7416735366538,769.4232382018616,771.9181358688438,774.2388801088499,776.3972132743943,778.4041442524701,780.269985883863,782.0043917609456,783.6163921762463,785.1144290450599,786.5063896685331,787.7996392400158,789.0010520279174,790.1170411936483,791.1535872241647,792.1162649757781,793.0102693398128,793.8404395518331,794.6112821749712,795.3269927946972,795.9914764675166,796.6083669698182,797.1810448956637,797.7126546539104,798.2061204158581,798.6641610647603,799.0893041981617,799.4838992332266,799.8501296640909,800.1900245188873,800.5054690625125,800.7982147894911,801.0698887494771,801.3220022460614,801.5559589476587,801.7730624473345
CF,L,peat,YC24,CF,0,7.818674251791064e-06,0.0011928725774831366,0.019172514254036727,0.12599937389226226,0.5071372677618399,1.4949279831410511,3.5532777280106345,7.217226041694105,13.01029676857606,21.365552236564707,32.56857828778516,46.729826786264184,63.78482868382493,83.5155896379921,105.58474492292008,129.5746767503352,155.025614036541,181.46885829817722,208.45318369292633,235.56391236592896,262.43512975841924,288.7560431462152,314.27270454206536,338.7863218439213,362.14925854837963,384.2596386524652,405.05527408394926,424.507444013414,442.61489260716354,459.3982793379894,474.895213680497,489.1559307707272,502.2396120344675,514.2113202690522,525.1394979099961,535.0939665337852,544.1443620294252,552.3589409591607,559.8036976489373,566.5417372109654,572.6328560988915,578.1332883219127,583.0955817101099,587.5685744017062,591.5974468983704,595.2238295673242,598.4859493680887,601.4188028860481,604.0543455195667,606.4216889540829,608.5473009282944,610.4552028143988,612.1671617517027,613.7028750402352,615.080145261663,616.3150451861143,617.4220719772379,618.4142905506134,619.3034661946969,620.1001867471775,620.8139747479395,621.4533900750041,622.026123621742,622.5390826002194,622.9984680631144,623.409845230215,623.7782071890379,624.1080325156684,624.4033373339024,624.6677222999939,624.9044149681645,625.1163079595437,625.3059933251366,625.4757934622913,625.6277889143486,625.7638433549139,625.8856260316725,625.9946319199079,626.0921998129193,626.1795285553229,626.2576916057153,626.3276500972961,626.3902645487084,626.4463053624602,626.4964622347395,626.5413525881384,626.5815291276491,626.6174866102108,626.6496679089596,626.6784694451057,626.7042460529308,626.7273153367071,626.7479615723122,626.7664392008882,626.7829759570184,626.7977756695067,626.8110207689077,626.8228745324174,626.833483093556,626.8429772412283
CF,L,mineral,YC10,CF,0,8.426118148659207e-05,0.0018932546406530693,0.012227268473810159,0.04657003786019489,0.13140945380126276,0.3051803145824583,0.6179817778549492,1.1303382868295193,1.9112942117082667,3.036109642705817,4.583783043406163,6.634579217832799,9.267695285864338,12.55915654748442,16.579999650948466,21.39477261030916,27.060359561825823,33.62512201324815,41.128336910353276,49.59990429703326,59.0602929061901,69.52068999918369,80.98332157719157,93.44191022006949,106.88223985886916,121.28279943000624,136.61548033593422,152.84630575308285,169.93617293699754,187.84159267238522,206.51541283048084,225.9075155822156,245.965480147725,266.6352050307214,287.8614854914353,309.5885435635406,331.76050923357593,354.32185249420354,377.21776687550266,400.3945057724384,423.7996734426557,447.3824729670885,471.09391376568425,494.88698145957926,518.71677298551,542.5405999127181,566.3180629000819,590.0111001731306,613.5840128069182,637.0034694800605,660.2384932248748,683.2604325447279,706.0429191075348,728.5618140581363,750.7951448254778,772.7230341358849,794.3276227834601,815.5929875543677,836.5050555547542,857.0515160531392,877.2217308178479,897.0066438087648,916.3986909704581,935.3917107705023,953.9808560324276,972.1625075268535,989.9341897066702,1007.2944889021977,1024.2429742296317,1040.7801214103106,1056.9072396489319,1072.6264016753285,1087.9403770163176,1102.8525685310028,1117.3669522142952,1131.488020248915,1145.2207272653295,1158.5704397516188,1171.5428885407755,1184.1441242911233,1196.3804758660808,1208.2585115121258,1219.7850027282748,1230.9668907164646,1241.8112552996834,1252.3252861933688,1262.5162565153014,1272.3914984198052,1281.9583807434067,1291.224288551059,1300.1966044745125,1308.8826917373012,1317.2898787640406,1325.4254452752125,1333.2966097722897,1340.9105183218658,1348.2742345513561,1355.3947307727806,1362.2788801550967,1368.9334498694857
CF,L,mineral,YC16,CF,0,0.00026986425960912573,0.006405498840583556,0.04168753611292248,0.15733786740806655,0.4361037748848378,0.9895760407272258,1.9511745561618545,3.466893362686208,5.685534815608765,8.749658144462375,12.787988761480161,17.909645723535405,24.200259914498027,31.719865927644637,40.5023386991267,50.556092528935196,61.86574786658956,74.39448583551344,88.08684089165095,102.87172020018423,118.66547869147047,135.37491769793922,152.90011041882525,171.1369881063796,189.97964643959403,209.32235214751273,229.0612459486223,249.0957498230989,269.32969512894647,289.67219370947527,310.0382774792099,330.34933352146766,350.5333619198483,370.5250827454723,390.26591713429434,409.703865456889,428.79330339699595,447.4947144601976,465.7743751382161,483.60400673460515,500.96040576655565,517.8250629282511,534.1837788518953,550.0262833401796,565.345863367372,580.1390039484477,594.4050449459552,608.1458560094779,621.3655311082255,634.0701035086861,646.2672815518017,657.9662051838095,669.1772228786291,679.9116883454145,690.1817762316953,700.0003159006235,709.380642271553,718.3364626589057,726.8817385184315,735.0305810068577,742.7971592757006,750.1956204485626,757.2400202701255,763.9442634613803,770.3220528670697,776.3868465358937,782.1518219302154,787.6298465185386,792.8334540599502,797.7748259442827,802.4657770043862,806.9177452672188,811.1417851581785,815.148563718038,818.9483594339295,822.5510633250175,825.9661819598299,829.2028421157613,832.269796822105,835.1754325562331,837.9277773883576,840.5345098938109,843.0029686731202,845.340162339479,847.5527798506591,849.6472010781332,851.6295075202913,853.5054930793018,855.2806748324824,856.9603037391454,858.5493752328683,860.0526396571155,861.4746125091981,862.8195844637972,864.0916311527635,865.2946226827268,866.4322328762696,867.507948226096,868.5250765548224,869.4867553757841
CF,L,mineral,YC20,CF,0,0.00018110326337194627,0.0064943282257756245,0.051515124540540747,0.21942616575406818,0.6589741562934044,1.5796330335711306,3.23429478085387,5.894735437003694,9.825842311186786,15.262952258670062,22.39475951063814,31.35264972688036,42.20618682464248,54.96381078025193,69.5775063548813,85.95016349241696,103.94446974181724,123.39237538388753,144.10439834670782,165.87825401542847,188.50648569744607,211.78292667212068,235.5079433182946,259.4924937300071,283.56109246734127,307.55380526570804,331.3274130979007,354.7558877976092,377.73031556504293,400.1583933137414,421.9636084444348,443.0841970442112,463.4719599570617,483.0910014723073,501.9164420182935,519.9331444762574,537.1344836193289,553.5211796958929,569.1002102050394,583.883808304296,597.888551878051,611.1345439080502,623.6446822612749,635.4440151945913,646.5591776352,657.0179025137071,666.8486010023262,676.0800053600559,684.7408681400981,692.8597117156223,700.4646223828345,707.5830836693087,714.2418438828505,720.4668133605576,726.2829873034302,731.7143904973967,736.7840406189797,741.5139271977603,745.9250036551234,750.0371901579136,753.8693853161981,757.4394850167913,760.7644069196165,763.8601193538308,766.7416735366538,769.4232382018616,771.9181358688438,774.2388801088499,776.3972132743943,778.4041442524701,780.269985883863,782.0043917609456,783.6163921762463,785.1144290450599,786.5063896685331,787.7996392400158,789.0010520279174,790.1170411936483,791.1535872241647,792.1162649757781,793.0102693398128,793.8404395518331,794.6112821749712,795.3269927946972,795.9914764675166,796.6083669698182,797.1810448956637,797.7126546539104,798.2061204158581,798.6641610647603,799.0893041981617,799.4838992332266,799.8501296640909,800.1900245188873,800.5054690625125,800.7982147894911,801.0698887494771,801.3220022460614,801.5559589476587,801.7730624473345
CF,L,mineral,YC24,CF,0,7.818674251791064e-06,0.0011928725774831366,0.019172514254036727,0.12599937389226226,0.5071372677618399,1.4949279831410511,3.5532777280106345,7.217226041694105,13.01029676857606,21.365552236564707,32.56857828778516,46.729826786264184,63.78482868382493,83.5155896379921,105.58474492292008,129.5746767503352,155.025614036541,181.46885829817722,208.45318369292633,235.56391236592896,262.43512975841924,288.7560431462152,314.27270454206536,338.7863218439213,362.14925854837963,384.2596386524652,405.05527408394926,424.507444013414,442.61489260716354,459.3982793379894,474.895213680497,489.1559307707272,502.2396120344675,514.2113202690522,525.1394979099961,535.0939665337852,544.1443620294252,552.3589409591607,559.8036976489373,566.5417372109654,572.6328560988915,578.1332883219127,583.0955817101099,587.5685744017062,591.5974468983704,595.2238295673242,598.4859493680887,601.4188028860481,604.0543455195667,606.4216889540829,608.5473009282944,610.4552028143988,612.1671617517027,613.7028750402352,615.080145261663,616.3150451861143,617.4220719772379,618.4142905506134,619.3034661946969,620.1001867471775,620.8139747479395,621.4533900750041,622.026123621742,622.5390826002194,622.9984680631144,623.409845230215,623.7782071890379,624.1080325156684,624.4033373339024,624.6677222999939,624.9044149681645,625.1163079595437,625.3059933251366,625.4757934622913,625.6277889143486,625.7638433549139,625.8856260316725,625.9946319199079,626.0921998129193,626.1795285553229,626.2576916057153,626.3276500972961,626.3902645487084,626.4463053624602,626.4964622347395,626.5413525881384,626.5815291276491,626.6174866102108,626.6496679089596,626.6784694451057,626.7042460529308,626.7273153367071,626.7479615723122,626.7664392008882,626.7829759570184,626.7977756695067,626.8110207689077,626.8228745324174,626.833483093556,626.8429772412283
CF,A,peat,YC10,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,A,peat,YC16,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,A,peat,YC20,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,A,peat,YC24,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,A,mineral,YC10,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,A,mineral,YC16,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,A,mineral,YC20,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,A,mineral,YC24,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
