Classifier1,Classifier2,Classifier3,Classifier4,UsingID,Age,Area,Delay,UNFCCCLC,HistDist,LastDist
NFPine_mineral,A,mineral,YC12_20,False,0,13002.0,0,2,DISTID3,DISTID5
NFPine_mineral,A,mineral,YC4_12,False,0,10000.0,0,2,DISTID3,DISTID5
NFSitka_mineral,A,mineral,YC4_12,False,0,11623.0,0,2,DISTID3,DISTID5
NFSitka_mineral,A,mineral,YC13_16,False,0,11925.11,0,2,DISTID3,DISTID5
NFSitka_mineral,A,mineral,YC17_20,False,0,18047.78,0,2,DISTID3,DISTID5
NFSitka_mineral,A,mineral,YC20_24,False,0,38878.6,0,2,DISTID3,DISTID5
NFSitka_mineral,A,mineral,YC24_30,False,0,53913.51,0,2,DISTID3,DISTID5
NFSGB_mineral,A,mineral,YC6,False,0,13713.0,0,2,DISTID3,DISTID5
NFFGB_mineral,A,mineral,YC6,False,0,21194.0,0,2,DISTID3,DISTID5
NFCBmix_mineral,A,mineral,YC10,False,0,19199.0,0,2,DISTID3,DISTID5
NFOC_mineral,A,mineral,YC10,False,0,28150.0,0,2,DISTID3,DISTID5
NFPine_peat,A,peat,YC12_20,False,0,24797.0,0,2,DISTID3,DISTID5
NFPine_peat,A,peat,YC4_12,False,0,17002.0,0,2,DISTID3,DISTID5
NFSitka_peat,A,peat,YC4_12,False,0,25777.0,0,2,DISTID3,DISTID5
NFSitka_peat,A,peat,YC13_16,False,0,24271.0,0,2,DISTID3,DISTID5
NFSitka_peat,A,peat,YC17_20,False,0,10000.0,0,2,DISTID3,DISTID5
NFSitka_peat,A,peat,YC20_24,False,0,48154.0,0,2,DISTID3,DISTID5
NFSitka_peat,A,peat,YC24_30,False,0,62675.0,0,2,DISTID3,DISTID5
NFSGB_peat,A,peat,YC6,False,0,10000.0,0,2,DISTID3,DISTID5
NFFGB_peat,A,peat,YC6,False,0,16796.0,0,2,DISTID3,DISTID5
NFCBmix_peat,A,peat,YC10,False,0,14563.0,0,2,DISTID3,DISTID5
NFOC_peat,A,peat,YC10,False,0,34112.0,0,2,DISTID3,DISTID5
